股票代码,股票名称,信号日期,命中模式,模式得分,最终得分,信号等级,T+1涨幅%,T+2涨幅%,T+3涨幅%,T+4涨幅%,T+5涨幅%,N型结构完整度,KDJ配合,B1买点配合,翻红力度,趋势支撑,横盘质量,突破力度,横盘时长,量价配合,上涨趋势强度,绿砖短暂性,绿砖缩量,价格位置,风险扣分,风险原因,是否排除,排除原因
603226,菲林格尔,20240102,横盘起跳,100.0,100.0,⭐⭐⭐ S级,0.4,-2.97,-8.91,-9.45,-8.5,,,,,10/10,30/30,25/25,20/20,15/15,,,,,0.0,,否,
600123,兰花科创,20240102,上升波段延续,94.0,94.0,⭐⭐⭐ S级,0.87,1.48,1.13,1.39,2.35,,,,15/15,,,,,,30/30,25/25,14/20,10/10,0.0,,否,
603408,建霖家居,20240102,上升波段延续,94.0,94.0,⭐⭐⭐ S级,-1.76,-0.46,-1.15,-1.45,3.51,,,,15/15,,,,,,30/30,25/25,14/20,10/10,0.0,,否,
603979,金诚信,20240102,横盘起跳,93.0,93.0,⭐⭐⭐ S级,0.18,0.13,-1.37,-3.02,-0.9,,,,,10/10,30/30,18/25,20/20,15/15,,,,,0.0,,否,
600764,中国海防,20240102,横盘起跳,88.0,88.0,⭐⭐⭐ S级,-2.91,-3.53,-7.94,-10.81,-13.2,,,,,10/10,30/30,25/25,20/20,3/15,,,,,0.0,,否,
600348,华阳股份,20240102,横盘起跳,95.0,80.0,⭐⭐⭐ S级,-0.39,0.19,-0.97,-2.42,-0.48,,,,,10/10,30/30,25/25,20/20,10/15,,,,,15.0,规则5:连续未缩量绿砖(-15),否,
600336,澳柯玛,20240102,上升波段延续,79.0,79.0,⭐⭐ A级,-0.32,-0.65,2.6,-0.16,1.79,,,,15/15,,,,,,22/30,18/25,14/20,10/10,0.0,,否,
600900,长江电力,20240102,横盘起跳,78.0,78.0,⭐⭐ A级,0.34,0.51,0.25,-0.34,-0.59,,,,,10/10,30/30,18/25,10/20,10/15,,,,,0.0,,否,
601088,中国神华,20240102,横盘起跳,90.0,75.0,⭐⭐ A级,1.85,3.24,3.3,3.92,5.16,,,,,10/10,30/30,25/25,10/20,15/15,,,,,15.0,规则5:连续未缩量绿砖(-15),否,
000078,海王生物,20240102,上升波段延续,72.0,72.0,⭐⭐ A级,0.95,11.08,4.11,3.8,2.22,,,,10/15,,,,,,10/30,25/25,20/20,7/10,0.0,,否,
002039,黔源电力,20240102,横盘起跳,85.0,70.0,⭐⭐ A级,0.71,0.99,0.28,-0.78,-0.5,,,,,5/10,30/30,25/25,10/20,15/15,,,,,15.0,规则2:黄白线差距收窄(-15),否,
601101,昊华能源,20240102,横盘起跳,85.0,70.0,⭐⭐ A级,2.29,3.52,3.21,1.99,3.21,,,,,5/10,30/30,25/25,10/20,15/15,,,,,15.0,规则2:黄白线差距收窄(-15),否,
601225,陕西煤业,20240102,横盘起跳,85.0,70.0,⭐⭐ A级,0.7,3.19,3.61,4.22,4.96,,,,,10/10,22/30,18/25,20/20,15/15,,,,,15.0,规则5:连续未缩量绿砖(-15),否,
003816,中国广核,20240102,横盘起跳,82.0,67.0,⭐⭐ A级,2.19,2.81,2.5,3.75,5.0,,,,,10/10,30/30,25/25,10/20,7/15,,,,,15.0,规则5:连续未缩量绿砖(-15),否,
600027,华电国际,20240102,横盘起跳,82.0,67.0,⭐⭐ A级,3.38,3.75,3.75,5.07,4.32,,,,,10/10,30/30,25/25,10/20,7/15,,,,,15.0,规则5:连续未缩量绿砖(-15),否,
600508,上海能源,20240102,横盘起跳,82.0,67.0,⭐⭐ A级,1.95,3.21,2.23,0.84,2.44,,,,,10/10,30/30,25/25,10/20,7/15,,,,,15.0,规则5:连续未缩量绿砖(-15),否,
600195,中牧股份,20240102,横盘起跳,78.0,63.0,⭐ B级,0.33,0.17,-0.99,-4.79,-5.29,,,,,10/10,30/30,18/25,10/20,10/15,,,,,15.0,规则5:连续未缩量绿砖(-15),否,
600873,梅花生物,20240102,横盘起跳,78.0,63.0,⭐ B级,0.83,0.72,0.41,0.0,2.28,,,,,10/10,30/30,18/25,10/20,10/15,,,,,15.0,规则5:连续未缩量绿砖(-15),否,
601139,深圳燃气,20240102,横盘起跳,78.0,63.0,⭐ B级,1.0,0.57,-0.43,-1.72,-0.86,,,,,5/10,30/30,18/25,10/20,15/15,,,,,15.0,规则2:黄白线差距收窄(-15),否,
002884,凌霄泵业,20240102,上升波段延续,60.0,60.0,⭐ B级,-0.4,3.34,1.92,0.34,4.75,,,,0/15,,,,,,30/30,18/25,2/20,10/10,0.0,,否,
002903,宇环数控,20240103,横盘起跳,88.0,88.0,⭐⭐⭐ S级,-4.92,-14.43,-16.52,-8.18,-13.52,,,,,10/10,30/30,18/25,20/20,10/15,,,,,0.0,,否,
600168,武汉控股,20240103,上升波段延续,86.0,86.0,⭐⭐⭐ S级,-2.2,-3.08,-5.58,-5.14,-7.64,,,,15/15,,,,,,22/30,25/25,14/20,10/10,0.0,,否,
000777,中核科技,20240103,横盘起跳,84.0,84.0,⭐⭐⭐ S级,-2.28,-1.57,-4.63,-5.28,-5.35,,,,,10/10,22/30,25/25,20/20,7/15,,,,,0.0,,否,
603172,万丰股份,20240103,上升波段延续,79.0,79.0,⭐⭐ A级,-0.34,0.67,0.67,3.14,3.14,,,,15/15,,,,,,22/30,18/25,14/20,10/10,0.0,,否,
601328,交通银行,20240103,横盘起跳,90.0,75.0,⭐⭐ A级,0.85,1.03,0.68,0.51,-0.17,,,,,10/10,30/30,25/25,10/20,15/15,,,,,15.0,规则5:连续未缩量绿砖(-15),否,
601233,桐昆股份,20240103,上升波段延续,74.0,74.0,⭐⭐ A级,0.2,-0.86,-2.18,-2.31,-2.38,,,,15/15,,,,,,22/30,25/25,2/20,10/10,0.0,,否,
601288,农业银行,20240103,横盘起跳,83.0,68.0,⭐⭐ A级,1.34,0.27,0.0,0.0,-0.27,,,,,10/10,30/30,18/25,10/20,15/15,,,,,15.0,规则5:连续未缩量绿砖(-15),否,
000993,闽东电力,20240103,横盘起跳,82.0,67.0,⭐⭐ A级,-0.87,2.88,-4.98,-7.6,-10.31,,,,,10/10,22/30,25/25,10/20,15/15,,,,,15.0,规则5:连续未缩量绿砖(-15),否,
601398,工商银行,20240103,横盘起跳,78.0,63.0,⭐ B级,1.03,0.62,0.83,0.83,0.21,,,,,10/10,30/30,18/25,10/20,10/15,,,,,15.0,规则5:连续未缩量绿砖(-15),否,
601988,中国银行,20240103,横盘起跳,78.0,63.0,⭐ B级,2.22,1.73,1.23,1.23,-0.25,,,,,10/10,30/30,18/25,10/20,10/15,,,,,15.0,规则5:连续未缩量绿砖(-15),否,
603380,易德龙,20240103,N型起跳,40.0,40.0,无效,-2.8,-4.05,-13.62,-12.73,-11.37,20/30,0/25,0/20,15/15,5/10,,,,,,,,,0.0,,否,
002884,凌霄泵业,20240104,横盘起跳,100.0,100.0,⭐⭐⭐ S级,-1.37,-2.9,1.37,0.0,-0.66,,,,,10/10,30/30,25/25,20/20,15/15,,,,,0.0,,否,
003028,振邦智能,20240104,上升波段延续,92.0,92.0,⭐⭐⭐ S级,-4.56,-3.49,-0.82,-1.16,-0.07,,,,15/15,,,,,,22/30,25/25,20/20,10/10,0.0,,否,
603273,天元智能,20240104,横盘起跳,92.0,92.0,⭐⭐⭐ S级,1.55,-1.85,4.49,7.43,5.85,,,,,10/10,22/30,25/25,20/20,15/15,,,,,0.0,,否,
001282,三联锻造,20240104,横盘起跳,88.0,73.0,⭐⭐ A级,1.62,0.62,-2.78,-11.85,-9.85,,,,,5/10,30/30,18/25,20/20,15/15,,,,,15.0,规则2:黄白线差距收窄(-15),否,
603379,三美股份,20240104,上升波段延续,86.0,71.0,⭐⭐ A级,-0.86,-1.61,-3.22,-4.77,-5.46,,,,15/15,,,,,,22/30,25/25,14/20,10/10,15.0,规则5:连续未缩量绿砖(-15),否,
002052,同洲电子,20240104,横盘起跳,83.0,68.0,⭐⭐ A级,5.08,2.54,7.61,13.2,18.78,,,,,10/10,30/30,18/25,10/20,15/15,,,,,15.0,规则5:连续未缩量绿砖(-15),否,
603231,索宝蛋白,20240104,横盘起跳,68.0,68.0,⭐⭐ A级,3.76,-4.3,-6.24,3.12,13.42,,,,,5/10,22/30,18/25,20/20,3/15,,,,,0.0,,否,
