股票,代码,信号日,收盘价,涨幅%,砖图值,砖图变化,模式,砖图力度,趋势背景,波动收敛,量价配合,加减分,总分,等级,5日收益%,10日收益%,15日收益%,加减分原因,连续绿砖,5日波动率,10日斜率%,20日斜率%,收盘vs短趋线%,量比,振幅%,评价
巨星科技,002444,2025-12-31,34.02,2.04,69.17,15.48,N型起跳,19,13,17,25,0,74,B级,9.41,8.82,13.76,,7,2.2,-1.0963,-0.3075,-2.0,1.2,3.18,
索菱股份,002766,2025-12-31,6.05,10.0,84.76,16.82,未分类,23,20,8,15,0,66,B级,11.4,10.25,4.79,,4,5.24,0.262,0.91,9.47,1.48,10.73,
粤桂股份,000833,2025-12-31,19.46,4.91,87.8,9.81,横盘起跳,18,16,16,23,10,83,A级,4.78,10.43,19.73,连续2天站上多空线+5; 短趋线>多空线+5,2,2.66,0.3996,-0.3989,2.2,1.63,7.28,
风神股份,600469,2025-12-31,6.94,2.36,103.28,13.33,横盘起跳,23,17,25,21,13,99,A级,-5.48,-3.03,1.87,连续2天站上多空线+5; 收盘<短趋线上限+3; 短趋线>多空线+5,1,1.47,0.1534,-0.0416,1.64,1.32,2.51,
元祖股份,603886,2025-12-31,13.97,3.64,72.16,12.1,横盘起跳,19,23,17,25,10,94,A级,-1.36,-0.93,1.36,连续2天站上多空线+5; 短趋线>多空线+5,4,2.42,-0.2243,0.1679,2.52,1.39,4.75,
宁水集团,603700,2025-12-31,13.59,2.57,120.04,8.14,横盘起跳,20,19,25,25,10,99,A级,0.96,1.03,5.45,连续2天站上多空线+5; 短趋线>多空线+5,1,1.22,0.4266,0.2037,4.46,1.44,3.7,
吉祥航空,603885,2025-12-31,14.88,7.2,97.02,10.4,未分类,19,20,14,15,0,68,B级,1.21,-0.81,5.58,,1,3.64,0.3201,0.3119,7.16,1.73,8.86,
国机汽车,600335,2025-12-31,6.51,1.88,80.97,10.18,横盘起跳,21,23,25,17,10,96,A级,0.46,-0.15,8.29,连续2天站上多空线+5; 短趋线>多空线+5,2,1.86,0.0537,0.1409,2.05,1.27,2.35,
众合科技,000925,2025-12-31,8.98,2.75,94.79,7.14,横盘起跳,16,19,23,25,10,93,A级,2.67,-2.23,5.12,连续2天站上多空线+5; 短趋线>多空线+5,1,1.63,0.3277,0.2182,3.62,1.46,4.81,
全聚德,002186,2025-12-31,11.78,1.99,59.46,7.58,N型起跳,14,16,23,17,3,73,B级,0.76,5.18,4.41,N型抬头+3,6,1.45,-0.8688,0.0251,-1.29,1.15,3.29,
东方钽业,000962,2025-12-31,33.06,5.86,113.54,7.5,上升波段延续,20,16,14,14,-5,59,C级,13.13,10.1,17.7,偏离>10% -5,1,3.24,1.2746,0.8704,12.03,1.19,8.33,
飞科电器,603868,2025-12-31,43.28,7.13,127.33,7.03,上升波段延续,20,14,12,18,-8,56,C级,-3.17,-10.4,-11.83,偏离>10% -5; 涨幅>7% -3,1,3.95,2.8955,1.1699,18.03,1.22,7.87,
首旅酒店,600258,2025-12-31,16.75,4.17,78.77,14.03,横盘起跳,21,23,23,25,10,102,A级,1.61,-0.18,4.48,连续2天站上多空线+5; 短趋线>多空线+5,2,2.35,-0.3353,0.3878,3.29,1.52,3.98,
大湖股份,600257,2025-12-31,6.28,5.19,74.12,12.06,横盘起跳,19,21,14,21,8,83,A级,17.83,18.31,21.34,收盘<短趋线上限+3; 短趋线>多空线+5,6,2.81,-0.6268,-0.2635,0.71,1.77,7.54,
千味央厨,001215,2025-12-31,38.5,4.11,65.66,13.89,N型起跳,17,18,16,25,3,79,B级,22.52,14.96,17.19,N型抬头+3,6,2.56,-0.9318,0.2153,-0.16,1.55,5.11,
中持股份,603903,2025-12-31,14.55,3.26,54.99,11.77,横盘起跳,17,13,21,25,8,84,A级,-11.41,-13.4,-8.87,收盘<短趋线上限+3; 短趋线>多空线+5,2,2.4,-0.9196,-0.5246,-2.15,1.22,4.19,
天元智能,603273,2025-12-31,20.99,3.86,118.89,7.71,横盘起跳,14,16,21,25,10,86,A级,-2.62,-1.38,-8.29,连续2天站上多空线+5; 短趋线>多空线+5,1,2.33,0.7047,0.2867,5.12,1.37,5.44,
利欧股份,002131,2025-12-31,5.64,9.94,93.79,14.99,未分类,23,16,10,10,0,59,C级,32.27,65.96,55.5,,3,4.73,0.8259,0.2864,10.38,2.43,10.33,
海兴电力,603556,2025-12-31,36.4,2.68,102.62,7.31,横盘起跳,20,16,23,25,10,94,A级,-2.34,5.88,11.4,连续2天站上多空线+5; 短趋线>多空线+5,1,1.38,0.8902,0.1557,6.0,1.44,4.23,
晨丰科技,603685,2025-12-31,19.49,4.0,63.04,19.69,横盘起跳,19,13,16,18,8,74,B级,-2.36,-5.75,1.49,收盘<短趋线上限+3; 短趋线>多空线+5,5,2.52,-0.5134,-0.4674,-0.47,0.97,5.02,
云中马,603130,2025-12-31,56.65,10.0,114.51,11.46,未分类,23,18,10,8,0,59,C级,-2.38,11.47,12.85,,1,6.81,1.4491,1.0061,16.08,0.97,11.15,
南方航空,600029,2025-12-31,8.01,4.57,114.75,10.51,横盘起跳,23,22,18,25,10,98,A级,-0.5,-7.24,-4.12,连续2天站上多空线+5; 短趋线>多空线+5,1,2.53,0.307,0.6836,8.0,1.47,5.48,
养元饮品,603156,2025-12-31,28.75,9.98,91.8,15.49,未分类,23,16,10,10,0,59,C级,14.78,17.6,17.77,,3,4.98,0.7183,-0.0964,8.37,2.55,8.19,
金富科技,003018,2025-12-31,17.42,7.53,63.08,11.13,未分类,17,13,10,18,0,58,C级,0.17,-1.09,5.86,,3,6.63,-0.6448,-1.0942,-2.55,1.72,7.65,
